index,stars
0,4.0258469581604
1,4.46387577056885
2,3.65213704109192
3,3.83942866325378
4,2.03090476989746
5,4.21491813659668
6,4.19178581237793
7,3.73082137107849
8,4.19682025909424
9,4.85646104812622
10,4.2828221321106
11,3.37080955505371
12,3.48269271850586
13,4.4763650894165
14,3.71782851219177
15,4.12435340881348
16,3.28076696395874
17,3.79240894317627
18,2.30062508583069
19,4.04888200759888
20,4.82628583908081
21,3.36614298820496
22,3.55112218856812
23,4.37833738327026
24,3.18870949745178
25,3.93232822418213
26,4.5371298789978
27,4.7346043586731
28,3.47006249427795
29,4.70549440383911
30,4.3169469833374
31,4.34278297424316
32,4.07404613494873
33,2.79503226280212
34,4.75801038742065
35,4.03169918060303
36,1.92924833297729
37,3.55183410644531
38,4.55772638320923
39,3.38046884536743
40,3.90058565139771
41,4.3242244720459
42,4.10990619659424
43,3.86828136444092
44,3.88419318199158
45,4.04200172424316
46,2.73959064483643
47,4.63985347747803
48,3.44626116752625
49,3.99846982955933
50,2.15979242324829
51,3.59025740623474
52,4.07651996612549
53,3.07274580001831
54,4.96428871154785
55,4.13265419006348
56,3.3440728187561
57,3.82257032394409
58,3.55938529968262
59,4.31386089324951
60,4.38650989532471
61,4.14547348022461
62,3.69073748588562
63,4.81593132019043
64,3.69944524765015
65,3.82299828529358
66,1.4392991065979
67,4.6366720199585
68,3.01350235939026
69,4.37516975402832
70,2.77614808082581
71,5.17552089691162
72,3.87361240386963
73,3.75857925415039
74,3.41146230697632
75,3.9664900302887
76,4.48364734649658
77,3.35163426399231
78,4.09011602401733
79,4.02996826171875
80,3.92124819755554
81,2.90519881248474
82,4.64176654815674
83,3.89188742637634
84,4.08227348327637
85,3.81352233886719
86,4.9737377166748
87,3.76114320755005
88,5.04621076583862
89,2.79378628730774
90,4.51917552947998
91,4.54182481765747
92,1.77698588371277
93,4.35200119018555
94,3.55751514434814
95,3.27818250656128
96,2.66402435302734
97,4.04112148284912
98,4.74790334701538
99,3.32820248603821
100,4.01692295074463
101,4.13427829742432
102,4.1681957244873
103,4.25261878967285
104,4.18811988830566
105,4.14025020599365
106,4.77742147445679
107,3.778559923172
108,4.315598487854
109,3.79573631286621
110,4.239333152771
111,4.24158000946045
112,3.04894304275513
113,3.97109246253967
114,3.18431782722473
115,4.45777702331543
116,3.14464449882507
117,3.74363565444946
118,4.49016189575195
119,4.72962760925293
120,4.31281328201294
121,3.72494077682495
122,2.75642251968384
123,4.11131238937378
124,3.71181178092957
125,3.26591467857361
126,2.65312480926514
127,4.06977462768555
128,3.91680645942688
129,4.11563062667847
130,4.58093929290771
131,4.37332344055176
132,4.47721672058105
133,4.04359912872314
134,4.37330436706543
135,3.05940198898315
136,2.57589292526245
137,5.00426769256592
138,4.39033699035645
139,3.88140988349915
140,2.85095620155334
141,4.98937702178955
142,4.72895956039429
143,3.81543278694153
144,4.05297470092773
145,3.43489098548889
146,3.81000113487244
147,4.33832931518555
148,3.97757625579834
149,4.83145570755005
150,3.52794599533081
151,3.31951427459717
152,3.4939501285553
153,4.28305244445801
154,3.48336887359619
155,4.36505508422852
156,4.74196243286133
157,4.42991256713867
158,4.15113544464111
159,4.09291648864746
160,4.2068829536438
161,3.35939073562622
162,3.51106810569763
163,3.54742479324341
164,4.48623085021973
165,4.06165409088135
166,3.52896666526794
167,4.18642902374268
168,4.12822914123535
169,3.88026881217957
170,4.63603019714355
171,3.86760020256042
172,4.9554877281189
173,3.50296354293823
174,3.96828985214233
175,4.10874271392822
176,3.79320240020752
177,3.98394727706909
178,3.67979049682617
179,3.17564463615417
180,4.06490564346313
181,3.49513387680054
182,4.76471757888794
183,3.58046245574951
184,4.39558219909668
185,3.96529841423035
186,4.9652738571167
187,4.76471567153931
188,2.47633981704712
189,4.81374025344849
